case:concept:name,concept:name,start:timestamp,time:timestamp,org:resource
79,Choose best option,2011-01-30 19:10:10.017773,2011-01-30 19:10:11.017773,ROLE1_0
80,Create Purchase Requisition,2011-01-30 21:02:14.561129,2011-01-30 21:35:56.652152,ROLE1_4
80,Create Request for Quotation,2011-01-30 21:35:56.652152,2011-01-30 21:40:34.792130,ROLE6_4
80,Analyze Request for Quotation,2011-01-30 21:40:34.792130,2011-01-30 22:06:34.476990,ROLE3_2
80,Amend Request for Quotation,2011-01-30 22:06:34.476990,2011-01-30 22:11:31.920234,ROLE1_13
80,Analyze Request for Quotation,2011-01-30 22:11:31.920234,2011-01-30 22:27:51.851163,ROLE3_2
80,Send Request for Quotation to Supplier,2011-01-30 22:27:51.851163,2011-01-30 22:39:45.792845,ROLE3_2
80,Create Quotation comparison Map,2011-01-30 22:39:45.792845,2011-01-31 02:14:51.403976,ROLE3_2
80,Analyze Quotation Comparison Map,2011-01-31 02:14:51.403976,2011-01-31 02:21:18.917883,ROLE1_2
80,Choose best option,2011-01-31 02:21:18.917883,2011-01-31 02:21:19.917883,ROLE1_12
79,Settle Conditions With Supplier,2011-01-30 19:10:11.017773,2011-01-31 05:13:13.946260,ROLE3_0
79,Create Purchase Order,2011-01-31 05:13:13.946260,2011-01-31 05:22:01.643385,ROLE3_0
79,Confirm Purchase Order,2011-01-31 05:22:01.643385,2011-01-31 05:34:35.269370,ROLE5_2
81,Create Purchase Requisition,2011-01-31 09:48:18.941633,2011-01-31 10:10:28.417859,ROLE1_12
81,Analyze Purchase Requisition,2011-01-31 10:10:28.417859,2011-01-31 10:17:13.720931,ROLE2_1
81,Create Request for Quotation,2011-01-31 10:17:13.720931,2011-01-31 10:18:37.861223,ROLE6_0
81,Analyze Request for Quotation,2011-01-31 10:18:37.861223,2011-01-31 10:47:55.231259,ROLE0_7
81,Amend Request for Quotation,2011-01-31 10:47:55.231259,2011-01-31 10:59:50.251774,ROLE1_16
81,Analyze Request for Quotation,2011-01-31 10:59:50.251774,2011-01-31 11:08:47.447566,ROLE7_4
81,Send Request for Quotation to Supplier,2011-01-31 11:08:47.447566,2011-01-31 11:34:51.132583,ROLE0_0
78,Deliver Goods Services,2011-01-30 13:40:05.793735,2011-01-31 11:57:08.307742,ROLE5_3
78,Release Purchase Order,2011-01-31 11:57:08.307742,2011-01-31 11:57:09.307742,ROLE1_6
78,Approve Purchase Order for payment,2011-01-31 11:57:09.307742,2011-01-31 11:57:10.307742,ROLE3_1
78,Send Invoice,2011-01-31 11:57:10.307742,2011-01-31 11:57:11.307742,ROLE5_4
78,Release Supplier's Invoice,2011-01-31 11:57:11.307742,2011-01-31 11:59:25.430149,ROLE4_0
78,Authorize Supplier's Invoice payment,2011-01-31 11:59:25.430149,2011-01-31 11:59:26.430149,ROLE4_1
78,Pay Invoice,2011-01-31 11:59:26.430149,2011-01-31 12:06:53.059713,ROLE4_0
82,Create Purchase Requisition,2011-01-31 11:55:00.374149,2011-01-31 12:32:41.566159,ROLE1_10
82,Analyze Purchase Requisition,2011-01-31 12:32:41.566159,2011-01-31 12:39:00.320086,ROLE2_1
82,Create Request for Quotation,2011-01-31 12:39:00.320086,2011-01-31 12:45:55.661209,ROLE6_1
82,Analyze Request for Quotation,2011-01-31 12:45:55.661209,2011-01-31 13:00:53.705241,ROLE6_5
82,Amend Request for Quotation,2011-01-31 13:00:53.705241,2011-01-31 13:07:29.054318,ROLE1_8
82,Analyze Request for Quotation,2011-01-31 13:07:29.054318,2011-01-31 13:38:16.956705,ROLE0_3
82,Amend Request for Quotation,2011-01-31 13:38:16.956705,2011-01-31 13:49:32.157891,ROLE1_8
82,Analyze Request for Quotation,2011-01-31 13:49:32.157891,2011-01-31 14:17:34.501799,ROLE1_9
82,Send Request for Quotation to Supplier,2011-01-31 14:17:34.501799,2011-01-31 14:54:02.563277,ROLE0_1
80,Settle Conditions With Supplier,2011-01-31 02:21:19.917883,2011-01-31 15:01:52.049290,ROLE3_2
80,Create Purchase Order,2011-01-31 15:01:52.049290,2011-01-31 15:09:17.039891,ROLE3_0
81,Create Quotation comparison Map,2011-01-31 11:34:51.132583,2011-01-31 15:14:26.480125,ROLE6_7
80,Confirm Purchase Order,2011-01-31 15:09:17.039891,2011-01-31 15:21:26.095551,ROLE5_2
81,Analyze Quotation Comparison Map,2011-01-31 15:14:26.480125,2011-01-31 15:31:50.568214,ROLE1_15
81,Choose best option,2011-01-31 15:31:50.568214,2011-01-31 15:31:51.568214,ROLE1_16
82,Create Quotation comparison Map,2011-01-31 14:54:02.563277,2011-01-31 20:27:10.034911,ROLE6_8
82,Analyze Quotation Comparison Map,2011-01-31 20:27:10.034911,2011-01-31 20:57:46.240711,ROLE1_4
82,Choose best option,2011-01-31 20:57:46.240711,2011-01-31 20:57:47.240711,ROLE1_2
83,Create Purchase Requisition,2011-01-31 22:45:29.995052,2011-01-31 23:19:58.038475,ROLE1_12
83,Analyze Purchase Requisition,2011-01-31 23:19:58.038475,2011-01-31 23:36:15.871649,ROLE2_0
83,Create Request for Quotation,2011-01-31 23:36:15.871649,2011-01-31 23:43:46.962875,ROLE6_10
81,Settle Conditions With Supplier,2011-01-31 15:31:51.568214,2011-02-01 00:09:52.620575,ROLE3_2
83,Analyze Request for Quotation,2011-01-31 23:43:46.962875,2011-02-01 00:11:50.910875,ROLE6_3
81,Create Purchase Order,2011-02-01 00:09:52.620575,2011-02-01 00:16:02.705085,ROLE3_2
83,Amend Request for Quotation,2011-02-01 00:11:50.910875,2011-02-01 00:23:34.324826,ROLE1_1
81,Confirm Purchase Order,2011-02-01 00:16:02.705085,2011-02-01 00:31:20.764197,ROLE5_1
83,Analyze Request for Quotation,2011-02-01 00:23:34.324826,2011-02-01 00:47:00.312079,ROLE6_2
83,Amend Request for Quotation,2011-02-01 00:47:00.312079,2011-02-01 00:52:45.249882,ROLE1_6
83,Analyze Request for Quotation,2011-02-01 00:52:45.249882,2011-02-01 01:19:48.085190,ROLE6_12
83,Send Request for Quotation to Supplier,2011-02-01 01:19:48.085190,2011-02-01 01:43:00.650356,ROLE7_3
79,Deliver Goods Services,2011-01-31 05:34:35.269370,2011-02-01 01:58:01.682204,ROLE5_0
79,Release Purchase Order,2011-02-01 01:58:01.682204,2011-02-01 01:58:02.682204,ROLE1_3
79,Approve Purchase Order for payment,2011-02-01 01:58:02.682204,2011-02-01 01:58:03.682204,ROLE3_1
79,Send Invoice,2011-02-01 01:58:03.682204,2011-02-01 01:58:04.682204,ROLE5_0
79,Release Supplier's Invoice,2011-02-01 01:58:04.682204,2011-02-01 02:02:04.003769,ROLE4_1
79,Authorize Supplier's Invoice payment,2011-02-01 02:02:04.003769,2011-02-01 02:02:05.003769,ROLE4_1
79,Pay Invoice,2011-02-01 02:02:05.003769,2011-02-01 02:12:14.608642,ROLE4_0
82,Settle Conditions With Supplier,2011-01-31 20:57:47.240711,2011-02-01 04:13:15.600330,ROLE2_2
82,Create Purchase Order,2011-02-01 04:13:15.600330,2011-02-01 04:24:34.478551,ROLE3_2
84,Create Purchase Requisition,2011-02-01 03:45:57.920842,2011-02-01 04:35:25.631559,ROLE1_6
84,Analyze Purchase Requisition,2011-02-01 04:35:25.631559,2011-02-01 04:44:20.638594,ROLE2_2
84,Create Request for Quotation,2011-02-01 04:44:20.638594,2011-02-01 04:48:51.340079,ROLE6_10
82,Confirm Purchase Order,2011-02-01 04:24:34.478551,2011-02-01 04:51:29.666711,ROLE5_3
84,Analyze Request for Quotation,2011-02-01 04:48:51.340079,2011-02-01 05:16:07.834079,ROLE6_14
84,Send Request for Quotation to Supplier,2011-02-01 05:16:07.834079,2011-02-01 05:40:33.283816,ROLE6_13
84,Create Quotation comparison Map,2011-02-01 05:40:33.283816,2011-02-01 06:20:22.451124,ROLE0_6
84,Analyze Quotation Comparison Map,2011-02-01 06:20:22.451124,2011-02-01 06:44:48.000057,ROLE1_12
84,Choose best option,2011-02-01 06:44:48.000057,2011-02-01 06:44:49.000057,ROLE1_3
80,Deliver Goods Services,2011-01-31 15:21:26.095551,2011-02-01 07:18:38.130990,ROLE5_4
80,Release Purchase Order,2011-02-01 07:18:38.130990,2011-02-01 07:18:39.130990,ROLE1_5
80,Approve Purchase Order for payment,2011-02-01 07:18:39.130990,2011-02-01 07:18:40.130990,ROLE3_0
80,Send Invoice,2011-02-01 07:18:40.130990,2011-02-01 07:18:41.130990,ROLE5_0
80,Release Supplier's Invoice,2011-02-01 07:18:41.130990,2011-02-01 07:23:37.572534,ROLE4_0
80,Authorize Supplier's Invoice payment,2011-02-01 07:23:37.572534,2011-02-01 07:23:38.572534,ROLE4_0
80,Pay Invoice,2011-02-01 07:23:38.572534,2011-02-01 07:28:32.665450,ROLE4_1
83,Create Quotation comparison Map,2011-02-01 01:43:00.650356,2011-02-01 07:41:48.825055,ROLE6_6
83,Analyze Quotation Comparison Map,2011-02-01 07:41:48.825055,2011-02-01 07:57:41.342375,ROLE1_15
83,Choose best option,2011-02-01 07:57:41.342375,2011-02-01 07:57:42.342375,ROLE1_9
85,Create Purchase Requisition,2011-02-01 08:15:42.619252,2011-02-01 09:06:14.122801,ROLE1_10
85,Analyze Purchase Requisition,2011-02-01 09:06:14.122801,2011-02-01 09:23:26.688658,ROLE2_2
85,Create Request for Quotation,2011-02-01 09:23:26.688658,2011-02-01 09:29:18.863483,ROLE6_1
85,Analyze Request for Quotation,2011-02-01 09:29:18.863483,2011-02-01 09:41:57.566617,ROLE7_1
85,Send Request for Quotation to Supplier,2011-02-01 09:41:57.566617,2011-02-01 10:05:36.969417,ROLE7_2
85,Create Quotation comparison Map,2011-02-01 10:05:36.969417,2011-02-01 11:01:44.381582,ROLE0_5
85,Analyze Quotation Comparison Map,2011-02-01 11:01:44.381582,2011-02-01 11:20:27.612756,ROLE1_8
85,Choose best option,2011-02-01 11:20:27.612756,2011-02-01 11:20:28.612756,ROLE1_1
86,Create Purchase Requisition,2011-02-01 12:42:35.975363,2011-02-01 13:26:13.256362,ROLE1_8
86,Create Request for Quotation,2011-02-01 13:26:13.256362,2011-02-01 13:38:40.980125,ROLE6_0
86,Analyze Request for Quotation,2011-02-01 13:38:40.980125,2011-02-01 13:53:02.489054,ROLE0_2
86,Send Request for Quotation to Supplier,2011-02-01 13:53:02.489054,2011-02-01 14:19:06.879809,ROLE1_0
84,Settle Conditions With Supplier,2011-02-01 06:44:49.000057,2011-02-01 14:48:16.424879,ROLE7_0
84,Create Purchase Order,2011-02-01 14:48:16.424879,2011-02-01 14:58:44.412824,ROLE1_7
84,Confirm Purchase Order,2011-02-01 14:58:44.412824,2011-02-01 15:18:39.147892,ROLE6_15
83,Settle Conditions With Supplier,2011-02-01 07:57:42.342375,2011-02-01 17:12:14.050630,ROLE3_1
83,Create Purchase Order,2011-02-01 17:12:14.050630,2011-02-01 17:20:18.809765,ROLE3_2
83,Confirm Purchase Order,2011-02-01 17:20:18.809765,2011-02-01 17:32:10.565263,ROLE5_3
86,Create Quotation comparison Map,2011-02-01 14:19:06.879809,2011-02-01 18:45:14.479895,ROLE6_4
86,Analyze Quotation Comparison Map,2011-02-01 18:45:14.479895,2011-02-01 18:58:12.507182,ROLE1_8
86,Choose best option,2011-02-01 18:58:12.507182,2011-02-01 18:58:13.507182,ROLE1_4
85,Settle Conditions With Supplier,2011-02-01 11:20:28.612756,2011-02-01 19:07:50.130540,ROLE6_11
85,Create Purchase Order,2011-02-01 19:07:50.130540,2011-02-01 19:14:34.729106,ROLE3_1
85,Confirm Purchase Order,2011-02-01 19:14:34.729106,2011-02-01 19:26:45.315712,ROLE0_4
81,Deliver Goods Services,2011-02-01 00:31:20.764197,2011-02-01 20:13:38.879203,ROLE5_2
81,Release Purchase Order,2011-02-01 20:13:38.879203,2011-02-01 20:13:39.879203,ROLE1_11
81,Approve Purchase Order for payment,2011-02-01 20:13:39.879203,2011-02-01 20:13:40.879203,ROLE3_0
81,Send Invoice,2011-02-01 20:13:40.879203,2011-02-01 20:13:41.879203,ROLE5_4
81,Release Supplier's Invoice,2011-02-01 20:13:41.879203,2011-02-01 20:19:19.705555,ROLE4_1
81,Authorize Supplier's Invoice payment,2011-02-01 20:19:19.705555,2011-02-01 20:19:20.705555,ROLE4_0
81,Pay Invoice,2011-02-01 20:19:20.705555,2011-02-01 20:23:49.376901,ROLE4_0
87,Create Purchase Requisition,2011-02-01 20:00:16.224234,2011-02-01 20:31:03.855508,ROLE1_9
87,Create Request for Quotation,2011-02-01 20:31:03.855508,2011-02-01 20:38:01.239174,ROLE6_8
87,Analyze Request for Quotation,2011-02-01 20:38:01.239174,2011-02-01 20:54:47.068636,ROLE2_1
87,Send Request for Quotation to Supplier,2011-02-01 20:54:47.068636,2011-02-01 21:25:46.802112,ROLE6_5
82,Deliver Goods Services,2011-02-01 04:51:29.666711,2011-02-01 21:58:15.107872,ROLE5_1
82,Release Purchase Order,2011-02-01 21:58:15.107872,2011-02-01 21:58:16.107872,ROLE1_14
82,Approve Purchase Order for payment,2011-02-01 21:58:16.107872,2011-02-01 21:58:17.107872,ROLE3_0
82,Send Invoice,2011-02-01 21:58:17.107872,2011-02-01 21:58:18.107872,ROLE5_1
82,Release Supplier's Invoice,2011-02-01 21:58:18.107872,2011-02-01 22:04:52.445247,ROLE4_0
82,Authorize Supplier's Invoice payment,2011-02-01 22:04:52.445247,2011-02-01 22:04:53.445247,ROLE4_0
82,Pay Invoice,2011-02-01 22:04:53.445247,2011-02-01 22:13:21.955919,ROLE4_0
87,Create Quotation comparison Map,2011-02-01 21:25:46.802112,2011-02-02 01:09:53.833095,ROLE0_3
87,Analyze Quotation Comparison Map,2011-02-02 01:09:53.833095,2011-02-02 01:35:04.955403,ROLE1_5
87,Choose best option,2011-02-02 01:35:04.955403,2011-02-02 01:35:05.955403,ROLE1_4
84,Deliver Goods Services,2011-02-01 15:18:39.147892,2011-02-02 05:36:28.058740,ROLE6_16
84,Release Purchase Order,2011-02-02 05:36:28.058740,2011-02-02 05:36:29.058740,ROLE1_3
84,Approve Purchase Order for payment,2011-02-02 05:36:29.058740,2011-02-02 05:36:30.058740,ROLE3_0
84,Send Invoice,2011-02-02 05:36:30.058740,2011-02-02 05:36:31.058740,ROLE5_3
84,Release Supplier's Invoice,2011-02-02 05:36:31.058740,2011-02-02 05:42:47.911894,ROLE4_0
84,Authorize Supplier's Invoice payment,2011-02-02 05:42:47.911894,2011-02-02 05:42:48.911894,ROLE4_0
84,Pay Invoice,2011-02-02 05:42:48.911894,2011-02-02 05:55:36.674586,ROLE4_0
83,Deliver Goods Services,2011-02-01 17:32:10.565263,2011-02-02 06:40:57.956900,ROLE5_0
83,Release Purchase Order,2011-02-02 06:40:57.956900,2011-02-02 06:40:58.956900,ROLE1_14
83,Approve Purchase Order for payment,2011-02-02 06:40:58.956900,2011-02-02 06:40:59.956900,ROLE3_2
83,Send Invoice,2011-02-02 06:40:59.956900,2011-02-02 06:41:00.956900,ROLE5_1
83,Release Supplier's Invoice,2011-02-02 06:41:00.956900,2011-02-02 06:47:51.691804,ROLE4_1
83,Authorize Supplier's Invoice payment,2011-02-02 06:47:51.691804,2011-02-02 06:47:52.691804,ROLE4_1
83,Pay Invoice,2011-02-02 06:47:52.691804,2011-02-02 06:56:50.375980,ROLE4_1
87,Settle Conditions With Supplier,2011-02-02 01:35:05.955403,2011-02-02 09:14:32.896628,ROLE0_1
86,Settle Conditions With Supplier,2011-02-01 18:58:13.507182,2011-02-02 09:17:11.364575,ROLE1_13
86,Create Purchase Order,2011-02-02 09:17:11.364575,2011-02-02 09:24:15.087081,ROLE3_2
87,Create Purchase Order,2011-02-02 09:14:32.896628,2011-02-02 09:24:47.423123,ROLE6_7
86,Confirm Purchase Order,2011-02-02 09:24:15.087081,2011-02-02 09:47:45.079694,ROLE5_2
87,Confirm Purchase Order,2011-02-02 09:24:47.423123,2011-02-02 09:51:22.342995,ROLE5_1
88,Create Purchase Requisition,2011-02-02 09:31:55.243726,2011-02-02 10:22:51.961675,ROLE1_11
88,Analyze Purchase Requisition,2011-02-02 10:22:51.961675,2011-02-02 10:29:23.533450,ROLE2_0
88,Create Request for Quotation,2011-02-02 10:29:23.533450,2011-02-02 10:36:38.266322,ROLE6_13
88,Analyze Request for Quotation,2011-02-02 10:36:38.266322,2011-02-02 11:00:54.234851,ROLE3_2
88,Send Request for Quotation to Supplier,2011-02-02 11:00:54.234851,2011-02-02 11:12:13.608226,ROLE3_2
89,Create Purchase Requisition,2011-02-02 12:13:15.620457,2011-02-02 12:35:16.304142,ROLE1_12
89,Analyze Purchase Requisition,2011-02-02 12:35:16.304142,2011-02-02 12:43:36.002905,ROLE2_0
89,Create Request for Quotation,2011-02-02 12:43:36.002905,2011-02-02 12:56:59.140414,ROLE6_12
89,Analyze Request for Quotation,2011-02-02 12:56:59.140414,2011-02-02 13:22:10.578818,ROLE1_16
89,Amend Request for Quotation,2011-02-02 13:22:10.578818,2011-02-02 13:32:22.663561,ROLE1_16
89,Analyze Request for Quotation,2011-02-02 13:32:22.663561,2011-02-02 13:43:35.222215,ROLE1_2
89,Amend Request for Quotation,2011-02-02 13:43:35.222215,2011-02-02 13:49:32.380427,ROLE1_10
89,Analyze Request for Quotation,2011-02-02 13:49:32.380427,2011-02-02 14:14:53.479260,ROLE6_3
89,Amend Request for Quotation,2011-02-02 14:14:53.479260,2011-02-02 14:38:14.630303,ROLE1_9
89,Analyze Request for Quotation,2011-02-02 14:38:14.630303,2011-02-02 15:02:06.369805,ROLE6_2
89,Amend Request for Quotation,2011-02-02 15:02:06.369805,2011-02-02 15:23:37.012718,ROLE1_2
89,Analyze Request for Quotation,2011-02-02 15:23:37.012718,2011-02-02 15:50:55.482439,ROLE7_3
88,Create Quotation comparison Map,2011-02-02 11:12:13.608226,2011-02-02 15:56:08.327869,ROLE3_2
89,Amend Request for Quotation,2011-02-02 15:50:55.482439,2011-02-02 15:58:32.047649,ROLE1_4
89,Analyze Request for Quotation,2011-02-02 15:58:32.047649,2011-02-02 16:03:41.503450,ROLE6_10
89,Amend Request for Quotation,2011-02-02 16:03:41.503450,2011-02-02 16:12:36.645562,ROLE1_12
88,Analyze Quotation Comparison Map,2011-02-02 15:56:08.327869,2011-02-02 16:20:34.697670,ROLE1_8
88,Choose best option,2011-02-02 16:20:34.697670,2011-02-02 16:20:35.697670,ROLE1_13
89,Analyze Request for Quotation,2011-02-02 16:12:36.645562,2011-02-02 16:47:18.758670,ROLE6_14
89,Send Request for Quotation to Supplier,2011-02-02 16:47:18.758670,2011-02-02 17:10:00.453705,ROLE0_6
86,Deliver Goods Services,2011-02-02 09:47:45.079694,2011-02-02 17:33:26.606981,ROLE5_2
86,Release Purchase Order,2011-02-02 17:33:26.606981,2011-02-02 17:33:27.606981,ROLE1_0
86,Approve Purchase Order for payment,2011-02-02 17:33:27.606981,2011-02-02 17:33:28.606981,ROLE3_0
86,Send Invoice,2011-02-02 17:33:28.606981,2011-02-02 17:33:29.606981,ROLE5_0
86,Release Supplier's Invoice,2011-02-02 17:33:29.606981,2011-02-02 17:37:06.987664,ROLE0_7
86,Authorize Supplier's Invoice payment,2011-02-02 17:37:06.987664,2011-02-02 17:37:07.987664,ROLE7_4
85,Deliver Goods Services,2011-02-01 19:26:45.315712,2011-02-02 17:51:17.059912,ROLE6_9
85,Release Purchase Order,2011-02-02 17:51:17.059912,2011-02-02 17:51:18.059912,ROLE1_14
85,Approve Purchase Order for payment,2011-02-02 17:51:18.059912,2011-02-02 17:51:19.059912,ROLE3_1
85,Send Invoice,2011-02-02 17:51:19.059912,2011-02-02 17:51:20.059912,ROLE5_3
86,Pay Invoice,2011-02-02 17:37:07.987664,2011-02-02 17:51:34.268052,ROLE0_0
85,Release Supplier's Invoice,2011-02-02 17:51:20.059912,2011-02-02 17:55:24.326410,ROLE4_0
85,Authorize Supplier's Invoice payment,2011-02-02 17:55:24.326410,2011-02-02 17:55:25.326410,ROLE4_0
87,Deliver Goods Services,2011-02-02 09:51:22.342995,2011-02-02 17:56:31.066065,ROLE5_4
87,Release Purchase Order,2011-02-02 17:56:31.066065,2011-02-02 17:56:32.066065,ROLE1_6
87,Approve Purchase Order for payment,2011-02-02 17:56:32.066065,2011-02-02 17:56:33.066065,ROLE3_1
87,Send Invoice,2011-02-02 17:56:33.066065,2011-02-02 17:56:34.066065,ROLE5_2
89,Create Quotation comparison Map,2011-02-02 17:10:00.453705,2011-02-02 17:56:39.404281,ROLE6_6
87,Release Supplier's Invoice,2011-02-02 17:56:34.066065,2011-02-02 18:02:26.614620,ROLE4_0
87,Authorize Supplier's Invoice payment,2011-02-02 18:02:26.614620,2011-02-02 18:02:27.614620,ROLE4_0
87,Pay Invoice,2011-02-02 18:02:27.614620,2011-02-02 18:07:02.430300,ROLE4_0
85,Pay Invoice,2011-02-02 17:55:25.326410,2011-02-02 18:07:11.945980,ROLE4_1
89,Analyze Quotation Comparison Map,2011-02-02 17:56:39.404281,2011-02-02 18:28:11.395549,ROLE1_10
89,Choose best option,2011-02-02 18:28:11.395549,2011-02-02 18:28:12.395549,ROLE1_5
88,Settle Conditions With Supplier,2011-02-02 16:20:35.697670,2011-02-02 20:18:11.558013,ROLE3_2
88,Create Purchase Order,2011-02-02 20:18:11.558013,2011-02-02 20:28:16.378435,ROLE3_1
88,Confirm Purchase Order,2011-02-02 20:28:16.378435,2011-02-02 20:46:06.830259,ROLE5_3
90,Create Purchase Requisition,2011-02-02 20:43:09.610210,2011-02-02 21:06:58.035109,ROLE1_2
90,Create Request for Quotation,2011-02-02 21:06:58.035109,2011-02-02 21:09:11.528893,ROLE6_4
90,Analyze Request for Quotation,2011-02-02 21:09:11.528893,2011-02-02 21:44:08.688936,ROLE3_1
90,Amend Request for Quotation,2011-02-02 21:44:08.688936,2011-02-02 21:55:22.570919,ROLE1_11
90,Analyze Request for Quotation,2011-02-02 21:55:22.570919,2011-02-02 22:20:13.493219,ROLE3_1
90,Send Request for Quotation to Supplier,2011-02-02 22:20:13.493219,2011-02-02 22:39:15.291434,ROLE3_1
90,Create Quotation comparison Map,2011-02-02 22:39:15.291434,2011-02-03 00:02:56.940379,ROLE3_1
90,Analyze Quotation Comparison Map,2011-02-03 00:02:56.940379,2011-02-03 00:32:15.493759,ROLE1_9
90,Choose best option,2011-02-03 00:32:15.493759,2011-02-03 00:32:16.493759,ROLE1_10
88,Deliver Goods Services,2011-02-02 20:46:06.830259,2011-02-03 01:55:20.518994,ROLE5_3
88,Release Purchase Order,2011-02-03 01:55:20.518994,2011-02-03 01:55:21.518994,ROLE1_8
88,Approve Purchase Order for payment,2011-02-03 01:55:21.518994,2011-02-03 01:55:22.518994,ROLE3_0
88,Send Invoice,2011-02-03 01:55:22.518994,2011-02-03 01:55:23.518994,ROLE5_0
88,Release Supplier's Invoice,2011-02-03 01:55:23.518994,2011-02-03 02:01:23.724542,ROLE4_1
88,Authorize Supplier's Invoice payment,2011-02-03 02:01:23.724542,2011-02-03 02:01:24.724542,ROLE4_1
88,Pay Invoice,2011-02-03 02:01:24.724542,2011-02-03 02:12:44.977050,ROLE4_0
91,Create Purchase Requisition,2011-02-03 02:34:35.074350,2011-02-03 03:21:30.424586,ROLE1_4
91,Create Request for Quotation,2011-02-03 03:21:30.424586,2011-02-03 03:22:49.408355,ROLE6_5
91,Analyze Request for Quotation,2011-02-03 03:22:49.408355,2011-02-03 03:47:19.178255,ROLE2_2
91,Send Request for Quotation to Supplier,2011-02-03 03:47:19.178255,2011-02-03 04:15:55.716528,ROLE6_1
89,Settle Conditions With Supplier,2011-02-02 18:28:12.395549,2011-02-03 04:57:32.574920,ROLE1_15
89,Create Purchase Order,2011-02-03 04:57:32.574920,2011-02-03 05:04:55.513347,ROLE3_0
89,Confirm Purchase Order,2011-02-03 05:04:55.513347,2011-02-03 05:35:02.254936,ROLE5_2
91,Create Quotation comparison Map,2011-02-03 04:15:55.716528,2011-02-03 08:29:29.158054,ROLE7_1
91,Analyze Quotation Comparison Map,2011-02-03 08:29:29.158054,2011-02-03 09:02:38.235161,ROLE1_7
91,Choose best option,2011-02-03 09:02:38.235161,2011-02-03 09:02:39.235161,ROLE1_10
89,Deliver Goods Services,2011-02-03 05:35:02.254936,2011-02-03 09:20:53.811460,ROLE5_4
89,Release Purchase Order,2011-02-03 09:20:53.811460,2011-02-03 09:20:54.811460,ROLE1_5
89,Approve Purchase Order for payment,2011-02-03 09:20:54.811460,2011-02-03 09:20:55.811460,ROLE3_2
